D5W-953,JXD.139,6,120
D5W-953,CRU.009,5,200
M8Q-758,YYK.309,3,165
T7F-869,OTS.581,5,2.5
U6A-456,AWB.345,1,3
H6H-085,IHG.413,3,4.8
I0W-872,KQQ.136,6,30
T0V-569,OQI.373,3,135
V9J-051,PVZ.181,3,15
M0X-657,ICX.503,1,50
Z4L-514,DFF.034,2,1
M7F-612,VCL.867,3,150
J2K-636,TZY.323,6,120
K1F-766,PJG.338,2,10
I0K-077,SSD.176,4,220
J2M-606,BWD.036,2,90
W3T-571,FLJ.040,4,4
T3B-722,JDC.028,1,0.25
L4O-783,OTH.462,3,120
W1C-444,QIL.029,5,15
N0Z-560,UWA.476,1,0.7
U6A-456,XOA.735,5,300
D6F-465,OBI.353,6,120
S7E-946,AWB.345,6,18
O7D-970,CSZ.863,5,10
W3T-571,UWA.476,5,3.5
E1N-544,MLE.193,4,200
A8J-929,UOD.420,4,12
N4J-043,KWP.672,2,20
O5L-856,BXY.119,4,180
R8O-904,KCO.488,4,20
J7Y-327,PQH.935,2,2
N9Q-814,GBJ.693,2,2
T5L-371,XLF.273,5,300
I5K-310,RSE.049,5,5
K0D-676,CJE.310,5,15
J2F-853,SJQ.827,5,9
R8H-409,TKM.141,6,300
J2F-853,EBI.299,5,250
T9L-709,DFF.034,3,1.5
R0P-255,SSD.176,1,55
V7O-315,ZEX.027,1,1.5
F3E-797,OBI.353,1,20
H1W-140,SJD.818,4,220
I3A-223,GLC.370,2,4
H8M-598,YUQ.590,2,110
M1E-751,QHC.492,6,120
L8A-167,CIM.038,4,180
Y9F-491,CRU.009,2,80
U0T-459,AHB.459,3,5.1
W1C-444,MQR.442,3,3
S7E-946,CNN.411,5,300
G6I-762,AFL.718,5,50
D8R-235,CIM.038,4,180
P7I-760,XZR.640,5,200
P5B-640,LDR.510,1,3
R0P-255,QUU.384,4,160
D2V-055,OWN.701,5,7.5
N0Z-560,BTO.226,4,80
Z4L-514,BRD.969,1,60
M1E-751,ZEX.027,3,4.5
J0Q-121,DFJ.952,1,50
J0Q-121,RDT.761,6,30
B3U-845,TMN.884,1,1
C2S-070,FEG.454,4,200
G6I-762,JDC.028,6,1.5
S9I-160,JCW.489,5,300
R8O-904,KWP.672,3,30
I1D-713,VDD.853,2,4
D6F-465,ZEX.027,2,3
L4B-291,ZVA.180,6,330
D5W-953,KQA.580,5,225
W8F-397,QUU.384,5,200
P6I-223,TKM.141,5,250
D6W-048,NMV.644,5,200
S4J-282,CIM.038,5,225
C4O-436,TYF.885,4,8
H6X-124,OQI.373,3,135
D6F-465,AHB.459,3,5.1
D7L-648,IDO.503,6,15
I1D-713,BCK.361,3,1.8
P7E-145,TYF.885,5,10
M7F-612,OPT.996,6,18
A7Y-833,VVS.017,4,3.2
W9Y-717,QUU.384,1,40
L3N-150,YOT.530,2,8
A1Q-612,ISU.815,5,2.5
K1F-766,III.576,5,50
G6I-762,LWG.915,3,150
J2K-636,BWD.036,3,135
P6I-223,AFL.718,5,50
K1F-766,AWB.345,4,12
U0T-459,YYU.726,4,6.4
D8R-235,JJN.837,1,40
B4I-014,ZWF.661,1,5
P7E-145,EJW.346,3,30
W6Z-142,BWD.036,5,225
B4I-014,UWA.476,4,2.8
R8H-409,XLF.273,5,300
D7L-648,UXG.019,4,80
K0D-676,NSM.283,2,100
B4R-105,VJI.529,2,10
T9L-709,TYF.885,2,4
R0P-255,YZD.580,5,15
D8R-235,XLF.273,4,240
I5K-310,TZY.323,3,60
M0X-657,LWG.915,4,200
C3A-423,TMN.884,2,2
