142,B,Cafe,2,grande
142,B,Agua Mineral,2.5,pequeno
142,E,Quesadillas,5.5,sin picante
142,E,Bruschetta,4,picante
142,P,Pasta Alfredo,10,4
142,P,Pollo a la Brasa,15,1
161,B,Agua Mineral,2.5,mediano
161,B,Coca-Cola,3.5,grande
161,E,Quesadillas,5.5,sin picante
161,E,Ensalada Cesar,6,picante
161,E,Nachos,5,picante
161,E,Ensalada Cesar,6,sin picante
169,B,Jugo de Naranja,4,mediano
169,P,Pasta Alfredo,10,4
180,B,Jugo de Naranja,4,pequeno
180,B,Jugo de Naranja,4,mediano
180,B,Cafe,2,mediano
180,E,Nachos,5,sin picante
180,P,Ceviche,9,3
191,B,Cafe,2,pequeno
191,B,Cafe,2,mediano
191,E,Bruschetta,4,sin picante
191,P,Strogonoff,25.75,2
194,B,Cafe,2,mediano
194,E,Ensalada Cesar,6,picante
200,B,Sprite,3,mediano
200,B,Cafe,2,mediano
200,B,Coca-Cola,3.5,mediano
214,B,Sprite,3,pequeno
228,E,Quesadillas,5.5,picante
228,P,Filete de Pescado,11,3
299,E,Guacamole,4.5,sin picante
299,E,Nachos,5,picante
299,P,Hamburguesa,8.5,2
327,B,Cafe,2,mediano
327,B,Jugo de Naranja,4,grande
327,B,Agua Mineral,2.5,grande
327,E,Bruschetta,4,sin picante
327,P,Hamburguesa,8.5,2
328,B,Coca-Cola,3.5,grande
328,P,Ceviche,9,3
328,P,Pasta Alfredo,10,4
328,P,Hamburguesa,8.5,2
358,E,Nachos,5,picante
358,E,Guacamole,4.5,picante
358,E,Quesadillas,5.5,picante
364,B,Cafe,2,grande
364,B,Coca-Cola,3.5,pequeno
364,B,Jugo de Naranja,4,mediano
364,E,Ensalada Cesar,6,picante
364,P,Ceviche,9,3
364,P,Pollo a la Brasa,15,1
372,B,Coca-Cola,3.5,pequeno
372,E,Guacamole,4.5,sin picante
400,B,Sprite,3,mediano
400,E,Guacamole,4.5,picante
400,E,Guacamole,4.5,sin picante
418,B,Coca-Cola,3.5,grande
418,B,Jugo de Naranja,4,pequeno
418,E,Nachos,5,picante
418,E,Ensalada Cesar,6,sin picante
438,P,Strogonoff,25.75,2
438,P,Pollo a la Brasa,15,1
438,P,Pollo a la Brasa,15,1
465,B,Sprite,3,mediano
465,E,Nachos,5,picante
465,E,Ensalada Cesar,6,sin picante
465,E,Quesadillas,5.5,sin picante
465,P,Lomo Saltado,12,2
465,P,Pollo a la Brasa,15,1
684,P,Pollo a la Brasa,15,1
692,E,Nachos,5,picante
692,E,Ensalada Cesar,6,picante
692,P,Pollo a la Brasa,15,1
705,B,Cafe,2,mediano
705,B,Sprite,3,grande
706,P,Pollo a la Brasa,15,1
727,B,Sprite,3,mediano
727,P,Filete de Pescado,11,3
727,P,Pasta Alfredo,10,4
734,P,Pasta Alfredo,10,4
734,P,Filete de Pescado,11,3
734,P,Strogonoff,25.75,2
738,B,Agua Mineral,2.5,mediano
738,B,Jugo de Naranja,4,grande
738,E,Ensalada Cesar,6,sin picante
738,P,Pollo a la Brasa,15,1
738,P,Hamburguesa,8.5,2
738,P,Strogonoff,25.75,2
767,E,Bruschetta,4,picante
767,P,Hamburguesa,8.5,2
787,B,Coca-Cola,3.5,mediano
787,E,Quesadillas,5.5,sin picante
787,E,Bruschetta,4,picante
787,E,Ensalada Cesar,6,sin picante
787,P,Filete de Pescado,11,3
812,B,Sprite,3,grande
812,B,Jugo de Naranja,4,grande
812,B,Jugo de Naranja,4,mediano
812,E,Ensalada Cesar,6,sin picante
